# This is the header
# time,desired_current,delayed_current_command,drive_voltage,motor_current,motor_angle,motor_speed,linear_position,linear_speed,motor_encoder,linear_encoder,equivalent_inertia_motor_side,motor_to_linear_gain,tau_motor,tau_gravity,tau_gearbox_friction,tau_screw_friction,net_torque,motor_acceleration,reflected_mass_inertia,commanded_current
0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.246600545452996353e-04,-1.246600545452996450e-01,-1.587221110959178545e-08,-1.587221110959178614e-05,-2.349938994518528603e-04,-7.266118613553990308e-06,3.004863416814832736e-04,1.273239544735162696e-04,0.000000000000000000e+00,3.745864374413124948e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.745864374413124948e-02,-1.246600545452996442e+02,4.863416814832212941e-07,8.000000000000000444e-01
1.000000000000000021e-03,8.000000000000000444e-01,8.000000000000000444e-01,1.270027195636376005e+00,8.533333333333333881e-01,-8.019265842643610192e-05,4.446739611886353638e-02,-1.021044639059779048e-08,5.661764718993994717e-06,-1.583731841582417801e-04,2.659548117553327304e-06,3.004863416814832736e-04,1.273239544735162696e-04,6.826666666666666994e-02,3.745864374413124948e-02,-2.001246600545452878e-02,0.000000000000000000e+00,5.082048892798994577e-02,1.691274506641631774e+02,4.863416814832212941e-07,8.000000000000000444e-01
2.000000000000000042e-03,8.000000000000000444e-01,8.000000000000000444e-01,1.171557391689509231e+00,9.493333333333334734e-01,2.578693847829944012e-05,1.059795969047355457e-01,3.283294980822362696e-09,1.349374137142015409e-05,9.288655344103538243e-07,1.268113810099320855e-06,3.004863416814832736e-04,1.273239544735162696e-04,7.594666666666667620e-02,3.745864374413124948e-02,2.000444673961188774e-02,0.000000000000000000e+00,1.848357618292353899e-02,6.151220078587200391e+01,4.863416814832212941e-07,8.000000000000000444e-01
3.000000000000000062e-03,8.000000000000000444e-01,8.000000000000000444e-01,1.092211701085712194e+00,9.123555555555555863e-01,1.834134843051698615e-04,1.576265458268704123e-01,2.335293012550043968e-08,2.006963514467807326e-05,2.677177413856036232e-04,8.602718424883187433e-06,3.004863416814832736e-04,1.273239544735162696e-04,7.298844444444445301e-02,3.745864374413124948e-02,2.001059795969047442e-02,0.000000000000000000e+00,1.551920274062272911e-02,5.164694892213486099e+01,4.863416814832212941e-07,8.000000000000000444e-01
4.000000000000000083e-03,8.000000000000000444e-01,8.000000000000000444e-01,1.043863456999482908e+00,8.699733333333333762e-01,3.813861576801724101e-04,1.979726733750025447e-01,4.855959377729956891e-08,2.520666365179912981e-05,4.289045218750309543e-04,-4.459126387046869202e-06,3.004863416814832736e-04,1.273239544735162696e-04,6.959786666666667454e-02,3.745864374413124948e-02,2.001576265458268611e-02,0.000000000000000000e+00,1.212346026795273896e-02,4.034612754813213797e+01,4.863416814832212941e-07,8.000000000000000444e-01
5.000000000000000104e-03,8.000000000000000444e-01,8.000000000000000444e-01,1.016342702758889160e+00,8.409979259259260376e-01,6.119772622549359605e-04,2.305911045747635613e-01,7.791936507817458810e-08,2.935977130087502417e-05,5.364840340725607944e-04,-8.070221708312737071e-06,3.004863416814832736e-04,1.273239544735162696e-04,6.727983407407409078e-02,3.745864374413124948e-02,2.001979726733750173e-02,0.000000000000000000e+00,9.801393062605339573e-03,3.261843119976100525e+01,4.863416814832212941e-07,8.000000000000000444e-01
6.000000000000000125e-03,8.000000000000000444e-01,8.000000000000000444e-01,1.001350755032647921e+00,8.234685629629632242e-01,8.705090117703867449e-04,2.585317495154507150e-01,1.108366497834383612e-07,3.291728470526375570e-05,8.361235259909606705e-04,-4.029642880858981871e-07,3.004863416814832736e-04,1.273239544735162696e-04,6.587748503703705349e-02,3.745864374413124948e-02,2.002305911045747580e-02,0.000000000000000000e+00,8.395782182448328218e-03,2.794064494068715732e+01,4.863416814832212941e-07,8.000000000000000444e-01
7.000000000000000146e-03,8.000000000000000444e-01,8.000000000000000444e-01,9.936046614427174184e-01,8.133084602469136115e-01,1.154267132169294443e-03,2.837581203989077427e-01,1.469658557865994202e-07,3.612920600316107549e-05,1.057039764431858811e-03,-1.119790947378362991e-05,3.004863416814832736e-04,1.273239544735162696e-04,6.506467681975308670e-02,3.745864374413124948e-02,2.002585317495154602e-02,0.000000000000000000e+00,7.580179900670291210e-03,2.522637088345703305e+01,4.863416814832212941e-07,8.000000000000000444e-01
8.000000000000000167e-03,8.000000000000000444e-01,8.000000000000000444e-01,9.899845512615421672e-01,8.075176264691358297e-01,1.461701505277554968e-03,3.074343731082605502e-01,1.861096159118296144e-07,3.914376012523018250e-05,1.492272027217982425e-03,-1.833074068467578605e-05,3.004863416814832736e-04,1.273239544735162696e-04,6.460141011753087192e-02,3.745864374413124948e-02,2.002837581203989123e-02,0.000000000000000000e+00,7.114390561359731219e-03,2.367625270935280568e+01,4.863416814832212941e-07,8.000000000000000444e-01
9.000000000000001055e-03,8.000000000000000444e-01,8.000000000000000444e-01,9.886989216215003040e-01,8.042396398090534415e-01,1.791931536800609685e-03,3.302300315230546346e-01,2.281558094112588650e-07,4.204619349942925185e-05,1.774226185983292193e-03,4.486412482183272632e-06,3.004863416814832736e-04,1.273239544735162696e-04,6.433917118472427810e-02,3.745864374413124948e-02,2.003074343731082660e-02,0.000000000000000000e+00,6.849784003282202022e-03,2.279565841479410793e+01,4.863416814832212941e-07,8.000000000000000444e-01
1.000000000000000021e-02,8.000000000000000444e-01,8.000000000000000444e-01,9.887305530561653066e-01,8.023893616513579907e-01,2.144457031562810746e-03,3.525254947622010193e-01,2.730407494571151793e-07,4.488494004585628065e-05,2.045921470922663736e-03,-1.085650055690425431e-05,3.004863416814832736e-04,1.273239544735162696e-04,6.419114893210864370e-02,3.745864374413124948e-02,2.003302300315230530e-02,0.000000000000000000e+00,6.699482184825088921e-03,2.229546323914637895e+01,4.863416814832212941e-07,8.000000000000000444e-01
1.099999999999999936e-02,8.000000000000000444e-01,8.000000000000000444e-01,9.895045371053876604e-01,8.013462040132126596e-01,2.518992844632458004e-03,3.745358130696474497e-01,3.207281302690963125e-07,4.768738081198119124e-05,2.442930241388773828e-03,6.800974018633647734e-06,3.004863416814832736e-04,1.273239544735162696e-04,6.410769632105701998e-02,3.745864374413124948e-02,2.003525254947622139e-02,0.000000000000000000e+00,6.613800027449549118e-03,2.201031830744641127e+01,4.863416814832212941e-07,8.000000000000000444e-01
