# This is the header
# time,motor_current,linear_position,linear_speed,motor_angle,motor_speed,linear_encoder,motor_encoder,force_motor,force_gravity,force_friction,net_force,linear_acceleration,commanded_current
0.000000000000000000e+00,1.574000769324455096e+00,2.315914502436261212e-07,2.315914502436261133e-04,1.818914996798954827e-03,1.818914996798954853e+00,2.315914502436261212e-07,1.818914996798954827e-03,9.889738507308782118e+02,2.941995000000000005e+02,0.000000000000000000e+00,6.947743507308782682e+02,2.315914502436260958e-01,1.574000769324455096e+00
1.000000000000000021e-03,1.564384268860858462e+00,6.878543900716729088e-07,4.562629398280467971e-04,5.402395746471638782e-03,3.583480749672684151e+00,6.878543900716729088e-07,5.402395746471638782e-03,9.829316252889425414e+02,2.941995000000000005e+02,1.471765653568061261e+01,6.740144687532620082e+02,2.246714895844206805e-01,1.564384268860858462e+00
2.000000000000000042e-03,1.554508723887566557e+00,1.366622901751428900e-06,6.787685116797560238e-04,1.073343117092463717e-02,5.331035424452998051e+00,1.366622901751428900e-06,1.073343117092463717e-02,9.767266373812847178e+02,2.941995000000000005e+02,1.501042182615699261e+01,6.675167155551278029e+02,2.225055718517092718e-01,1.554508723887566557e+00
3.000000000000000062e-03,1.544381174492770015e+00,2.265772575268918259e-06,8.991496735174895217e-04,1.779533619292514995e-02,7.061905022000515508e+00,2.265772575268918259e-06,1.779533619292514995e-02,9.703633104257726245e+02,2.941995000000000005e+02,1.502032491257238611e+01,6.611434855132002895e+02,2.203811618377334303e-01,1.544381174492770015e+00
4.000000000000000083e-03,1.534008753502683842e+00,3.383128799481015847e-06,1.117356224212097578e-03,2.657103145649403891e-02,8.775695263568888294e+00,3.383128799481015847e-06,2.657103145649403891e-02,9.638461261092935501e+02,2.941995000000000005e+02,1.502697402546941952e+01,6.546196520838241213e+02,2.182065506946080369e-01,1.534008753502683842e+00
5.000000000000000104e-03,1.523398682073244137e+00,4.716467224005487267e-06,1.333338424524471884e-03,3.704304695458170843e-02,1.047201549808767496e+01,4.716467224005487267e-06,3.704304695458170843e-02,9.571796216179353678e+02,2.941995000000000005e+02,1.503352068081226633e+01,6.479466009371230939e+02,2.159822003123743617e-01,1.523398682073244137e+00
6.000000000000000125e-03,1.512558265240641298e+00,6.263515277426174972e-06,1.547048053420687665e-03,4.919353395302376863e-02,1.215048699844205515e+01,6.263515277426174972e-06,4.919353395302376863e-02,9.503683868413040727e+02,2.941995000000000005e+02,1.504000015265704882e+01,6.411288866886470714e+02,2.137096288962156976e-01,1.512558265240641298e+00
7.000000000000000146e-03,1.501494887433426850e+00,8.021953714217227571e-06,1.758438436791052951e-03,6.300427714005549240e-02,1.381074318703172921e+01,8.021953714217227571e-06,6.300427714005549240e-02,9.434170615526975325e+02,2.941995000000000005e+02,1.504641144160152422e+01,6.341711501110960398e+02,2.113903833703653368e-01,1.501494887433426850e+00
8.000000000000000167e-03,1.490216007948957477e+00,9.989418177479537323e-06,1.967464463262308654e-03,7.845670690001513292e-02,1.545242975995963697e+01,9.989418177479537323e-06,7.845670690001513292e-02,9.363303325668707657e+02,2.941995000000000005e+02,1.505275315310371553e+01,6.270780794137671137e+02,2.090260264712557048e-01,1.490216007948957477e+00
9.000000000000001055e-03,1.478729156396958011e+00,1.216350077638959444e-05,2.174082598910056889e-03,9.553191170259824061e-02,1.707520480258309803e+01,1.216350077638959444e-05,9.553191170259824061e-02,9.291129308771431852e+02,2.941995000000000005e+02,1.505902393389786909e+01,6.198544069432452943e+02,2.066181356477484188e-01,1.478729156396958011e+00
