# This is the header
# time,desired_current,delayed_current_command,drive_voltage,motor_current,motor_angle,motor_speed,linear_position,linear_speed,motor_encoder,linear_encoder,equivalent_inertia_motor_side,motor_to_linear_gain,tau_motor,tau_gravity,tau_gearbox_friction,tau_screw_friction,net_torque,motor_acceleration,reflected_mass_inertia,commanded_current
0.000000000000000000e+00,1.574000769324455096e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.246600545452996353e-04,-1.246600545452996450e-01,-1.587221110959178545e-08,-1.587221110959178614e-05,-2.349938994518528603e-04,-7.266118613553990308e-06,3.004863416814832736e-04,1.273239544735162696e-04,0.000000000000000000e+00,3.745864374413124948e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.745864374413124948e-02,-1.246600545452996442e+02,4.863416814832212941e-07,1.574000769324455096e+00
1.000000000000000021e-03,1.564384268860858462e+00,1.574000769324455096e+00,2.508428426555504132e+00,1.678934153946085361e+00,1.396112277649415800e-04,2.642712823102412178e-01,1.777585360793513317e-08,3.364806471752691759e-05,6.143070203313590180e-05,2.687534417551860084e-06,3.004863416814832736e-04,1.273239544735162696e-04,1.343147323156868300e-01,3.745864374413124948e-02,-2.001246600545452878e-02,0.000000000000000000e+00,1.168685545770101197e-01,3.889313368555408488e+02,4.863416814832212941e-07,1.564384268860858462e+00
2.000000000000000042e-03,1.554508723887566557e+00,1.564384268860858462e+00,2.303796425056769070e+00,1.857556645770517045e+00,7.071224519620126527e-04,5.675112241970711180e-01,9.003362688081249278e-08,7.225777327287736694e-05,6.822643790181235528e-04,1.354864141999310820e-06,3.004863416814832736e-04,1.273239544735162696e-04,1.486045316616413647e-01,3.745864374413124948e-02,2.002642712823102591e-02,0.000000000000000000e+00,9.111946078927909975e-02,3.032399418868299108e+02,4.863416814832212941e-07,1.554508723887566557e+00
3.000000000000000062e-03,1.544381174492770015e+00,1.554508723887566557e+00,2.147806310813176189e+00,1.773114937739043828e+00,1.555291358237581405e-03,8.481689062755688457e-01,1.980258460892950866e-07,1.079922192084826159e-04,1.639595615318015275e-03,8.777391340846981649e-06,3.004863416814832736e-04,1.273239544735162696e-04,1.418491950191235196e-01,3.745864374413124948e-02,2.005675112241970745e-02,0.000000000000000000e+00,8.433380015257256612e-02,2.806576820784977144e+02,4.863416814832212941e-07,1.544381174492770015e+00
4.000000000000000083e-03,1.534008753502683842e+00,1.544381174492770015e+00,2.053195910225189991e+00,1.678184586029904946e+00,2.658750757313478076e-03,1.103459399075896741e+00,3.385226603806081708e-07,1.404968142913131073e-04,2.706269121508336675e-03,-4.169163320443560414e-06,3.004863416814832736e-04,1.273239544735162696e-04,1.342547668823924067e-01,3.745864374413124948e-02,2.008481689062755621e-02,0.000000000000000000e+00,7.671130624763361494e-02,2.552904928003280247e+02,4.863416814832212941e-07,1.534008753502683842e+00
5.000000000000000104e-03,1.523398682073244137e+00,1.534008753502683842e+00,1.999614605467424866e+00,1.609862152900216392e+00,3.999225862825283792e-03,1.340475105511805154e+00,5.091972516876752530e-07,1.706745913070670034e-04,3.923732634642908626e-03,-7.638943821703236684e-06,3.004863416814832736e-04,1.273239544735162696e-04,1.287889722320173236e-01,3.745864374413124948e-02,2.011034593990759095e-02,0.000000000000000000e+00,7.121998254797848316e-02,2.370157064359083279e+02,4.863416814832212941e-07,1.523398682073244137e+00
6.000000000000000125e-03,1.512558265240641298e+00,1.523398682073244137e+00,1.970505291309396556e+00,1.564150619159011546e+00,5.564467784359729968e-03,1.565241921534446412e+00,7.084900428451662522e-07,1.992927911574909764e-04,5.530082298580304111e-03,1.946891049758296907e-07,3.004863416814832736e-04,1.273239544735162696e-04,1.251320495327209181e-01,3.745864374413124948e-02,2.013404751055117986e-02,0.000000000000000000e+00,6.753935827803850267e-02,2.247668160226413647e+02,4.863416814832212941e-07,1.512558265240641298e+00
7.000000000000000146e-03,1.501494887433426850e+00,1.512558265240641298e+00,1.955337154490280227e+00,1.532908657676818720e+00,7.346084015335434432e-03,1.781616230975704429e+00,9.353324667271944052e-07,2.268424238820282402e-04,7.248856647597998366e-03,-1.040954286284303482e-05,3.004863416814832736e-04,1.273239544735162696e-04,1.226326926141454998e-01,3.745864374413124948e-02,2.015652419215344451e-02,0.000000000000000000e+00,6.501752467786081624e-02,2.163743094412579069e+02,4.863416814832212941e-07,1.501494887433426850e+00
8.000000000000000167e-03,1.490216007948957477e+00,1.501494887433426850e+00,1.947894694684168426e+00,1.510158662339438518e+00,9.337945701283907954e-03,1.991861685948473015e+00,1.188944173346439229e-06,2.536117066192447199e-04,9.368516223224335193e-03,-1.732790612724117445e-05,3.004863416814832736e-04,1.273239544735162696e-04,1.208126929871550792e-01,3.745864374413124948e-02,2.017816162309757008e-02,0.000000000000000000e+00,6.317588761992626312e-02,2.102454549727686413e+02,4.863416814832212941e-07,1.490216007948957477e+00
9.000000000000001055e-03,1.478729156396958011e+00,1.490216007948957477e+00,1.944611235987570907e+00,1.492206599875683048e+00,1.153520340534075310e-02,2.197257704056845284e+00,1.468707713224355883e-06,2.797635398779166620e-04,1.151749805452343539e-02,5.726964385996369359e-06,3.004863416814832736e-04,1.273239544735162696e-04,1.193765279900546455e-01,3.745864374413124948e-02,2.019918616859484733e-02,0.000000000000000000e+00,6.171869807732854180e-02,2.053960181083724876e+02,4.863416814832212941e-07,1.478729156396958011e+00
1.000000000000000021e-02,1.467041928113003157e+00,1.478729156396958011e+00,1.943463865236054522e+00,1.476896819249474468e+00,1.393371277257476545e-02,2.398509367234012313e+00,1.774095410702361583e-06,3.053876974780056985e-04,1.383517721193461801e-02,-9.355445895659008122e-06,3.004863416814832736e-04,1.273239544735162696e-04,1.181517455399579558e-01,3.745864374413124948e-02,2.021972577040568458e-02,0.000000000000000000e+00,6.047337602542101481e-02,2.012516631771670745e+02,4.863416814832212941e-07,1.467041928113003157e+00
